state,city,zip,living_space,construct_year,rent,negative_sample
Bayern,Kaufbeuren,87602,98.51,1965,832.74,0
Bayern,Wuerzburg,97074,88.65,2014,1681.88,0
Bayern,Landshut,84036,50.52,2008,926.12,0
Bayern,Muenchen,80489,165.92,2009,2921.6,0
Nordrhein-Westfalen,Koeln,51194,68.48,1960,810.74,0
Baden-Wuerttemberg,Heilbronn,74078,116.87,1978,1423.84,0
Nordrhein-Westfalen,Gelsenkirchen,45896,159.74,1969,834.01,0
Hessen,Hanau,63451,166.84,1911,1743.36,0
Nordrhein-Westfalen,Aachen,52078,56.22,1944,807.37,0
Bayern,Landshut,84030,130.36,1976,1360.93,0
Baden-Wuerttemberg,Pforzheim,75172,156.91,1959,1029.54,0
Hessen,Darmstadt,64285,181.26,1936,2022.23,0
Nordrhein-Westfalen,Essen,45199,70.48,1942,791.07,0
Nordrhein-Westfalen,Koeln,51399,115.04,1983,1249.42,0
Baden-Wuerttemberg,Pforzheim,75180,55.08,1950,599.76,0
Hessen,Kassel,34289,77.8,1902,972.02,0
Nordrhein-Westfalen,Muenster,48163,175.45,1963,1156.8,0
Niedersachsen,Osnabrueck,49081,138.9,1945,1448.27,0
Hessen,Offenbach am Main,63065,183.96,1946,2206.01,0
Hessen,Wiesbaden,56478,121.82,1934,1692.4,0
Nordrhein-Westfalen,Bonn,53149,130.15,1965,1191.99,0
Hessen,Darmstadt,64289,124.51,1923,1689.37,0
Hessen,Ruesselsheim am Main,65428,196.25,1953,1240.17,0
Nordrhein-Westfalen,Aachen,52064,42.21,1944,631.33,0
Hessen,Frankfurt am Main,65487,119.96,1919,2115.14,0
Nordrhein-Westfalen,Koeln,50958,124.35,1950,1176.98,0
Nordrhein-Westfalen,Aachen,52071,88.9,1955,930.93,0
Nordrhein-Westfalen,Duesseldorf,40314,122.63,1968,1164.77,0
Bayern,Hof,95029,96.49,2003,1015.94,0
Hessen,Ruesselsheim am Main,65428,192.53,1951,1247.11,0
Bayern,Ingolstadt,85056,114.86,1962,1340.26,0
Nordrhein-Westfalen,Aachen,52073,21.47,1960,286.37,0
Hessen,Hanau,63452,96.97,1942,1301.26,0
Hessen,Hanau,63453,133.14,1962,1249.06,0
Bayern,Wuerzburg,97076,73.55,2003,1240.33,0
Nordrhein-Westfalen,Essen,45316,189.58,1957,694.42,0
Niedersachsen,Goettingen,37080,161.56,1956,1283.38,0
Baden-Wuerttemberg,Ludwigsburg,71644,42.21,1985,602.15,0
Hessen,Offenbach am Main,63070,33.66,1964,534.54,0
Baden-Wuerttemberg,Pforzheim,75173,30.17,1962,360.41,0
Hessen,Hanau,63453,39.12,1911,621.08,0
Nordrhein-Westfalen,Dortmund,44364,97.29,1950,789.53,0
Bayern,Schweinfurt,97422,163.58,1973,997.48,0
Baden-Wuerttemberg,Freiburg im Breisgau,79117,183.33,1959,1977.84,0
Niedersachsen,Oldenburg,26131,168.4,1977,1349.39,0
Baden-Wuerttemberg,Ulm,89128,127.87,1962,1523.67,0
Niedersachsen,Braunschweig,38104,114.15,1949,1116.23,0
Hessen,Hanau,63457,147.07,1973,1439.73,0
Baden-Wuerttemberg,Karlsruhe,76208,114.93,1934,1475.2,0
Niedersachsen,Wolfsburg,38447,190.75,1930,1877.58,0
Nordrhein-Westfalen,Aachen,52063,150.33,1994,1482.41,0
Bayern,Ingolstadt,85049,109.92,1990,1415.56,0
Niedersachsen,Hildesheim,31134,121.05,1927,1196.62,0
Nordrhein-Westfalen,Duesseldorf,40247,43.13,1986,598.57,0
Bayern,Bamberg,96052,192.28,1954,1220.62,0
Hessen,Marburg,35091,165.28,1960,1389.28,0
Hessen,Giessen,35393,78.88,1935,1105.68,0
Bayern,Schweinfurt,97422,103.78,1963,792.81,0
Niedersachsen,Wolfsburg,38441,105.18,1961,1154.86,0
Bayern,Nuernberg,90477,186.68,1957,1360.17,0
Niedersachsen,Hannover,30582,86.72,1898,1216.18,0
Nordrhein-Westfalen,Essen,45243,131.36,1982,937.55,0
Bayern,Ingolstadt,85056,76.93,1977,1098.59,0
Nordrhein-Westfalen,Duisburg,47110,69.37,1966,570.33,0
Niedersachsen,Braunschweig,38126,165.91,1911,1672.18,0
Baden-Wuerttemberg,Esslingen am Neckar,73732,52.57,1957,658.45,0
Hessen,Giessen,35396,153.28,1956,1280.75,0
Hessen,Darmstadt,64288,194.24,1923,2059.87,0
Nordrhein-Westfalen,Aachen,52066,131.72,1967,1139.61,0
Baden-Wuerttemberg,Heidelberg,69119,115.03,1950,1387.39,0
Niedersachsen,Oldenburg,26122,65.89,1931,913.84,0
Bayern,Nuernberg,90484,97.58,1958,1080.47,0
Baden-Wuerttemberg,Stuttgart,70437,187.29,1957,2161.37,0
Niedersachsen,Oldenburg,26122,119.33,1966,1085.71,0
Baden-Wuerttemberg,Ludwigsburg,71666,27.22,1981,405.62,0
Hessen,Hanau,63457,115.61,1944,1459.74,0
Hessen,Giessen,35391,101.39,1965,1070.79,0
Nordrhein-Westfalen,Gelsenkirchen,45889,116.3,1984,821.93,0
Baden-Wuerttemberg,Karlsruhe,76183,168.25,1930,1778.31,0
Nordrhein-Westfalen,Dortmund,44234,47.84,1973,536.64,0
Baden-Wuerttemberg,Ulm,89108,159.81,1938,2086.8,0
Niedersachsen,Oldenburg,26133,52.7,1960,628.74,0
Baden-Wuerttemberg,Mannheim,68253,34.55,1987,502.1,0
Bayern,Regensburg,93057,90.94,2016,1768.3,0
Niedersachsen,Osnabrueck,49078,175.08,1944,1556.31,0
Nordrhein-Westfalen,Bielefeld,33679,66.98,1974,743.7,0
Niedersachsen,Hannover,30252,199.24,1937,1841.43,0
Bayern,Kaufbeuren,87601,41.59,2003,628.89,0
Baden-Wuerttemberg,Esslingen am Neckar,73732,144.97,1985,1391.54,0
Nordrhein-Westfalen,Wuppertal,42192,135.86,1955,765.7,0
Hessen,Giessen,35392,118.69,1952,1166.21,0
Bayern,Hof,95029,186.7,2000,1109.98,0
Hessen,Wiesbaden,62458,115.81,1921,1638.45,0
Nordrhein-Westfalen,Wuppertal,42165,71.87,1930,780.15,0
Niedersachsen,Goettingen,37073,147.71,1958,1260.31,0
Niedersachsen,Osnabrueck,49074,170.49,1950,1122.54,0
Hessen,Offenbach am Main,63074,121.71,1907,1781.5,0
Niedersachsen,Osnabrueck,49075,153.49,1937,1505.22,0
Nordrhein-Westfalen,Moenchengladbach,41217,190.97,1957,697.74,0
Niedersachsen,Hildesheim,31137,29.91,1922,411.55,0
Nordrhein-Westfalen,Aachen,52062,119.6,1980,1215.99,0
Hessen,Marburg,35038,25.44,1940,428.67,0
Hessen,Ruesselsheim am Main,65429,39.28,1926,608.48,0
Niedersachsen,Goettingen,37077,126.37,1956,1192.82,0
Baden-Wuerttemberg,Ludwigsburg,71642,33.0,1922,533.23,0
Hessen,Hanau,63456,38.68,1911,614.93,0
Bayern,Memmingen,87701,131.37,1988,1162.22,0
Bayern,Neu-Ulm,89232,126.37,1998,1780.45,0
Bayern,Hof,95028,143.61,2041,2588.83,0
Nordrhein-Westfalen,Muenster,48158,185.51,1943,1607.6,0
Bayern,Landshut,84033,35.5,1986,513.76,0
Hessen,Hanau,63454,185.08,1947,1790.48,0
Baden-Wuerttemberg,Ulm,89097,122.28,1972,1608.37,0
Niedersachsen,Goettingen,37083,122.3,1946,1481.32,0
Bayern,Regensburg,93048,149.34,2015,2495.88,0
Hessen,Marburg,35045,91.9,1934,1288.86,0
Baden-Wuerttemberg,Reutlingen,72768,196.76,1967,890.88,0
Nordrhein-Westfalen,Bochum,44828,49.14,1968,474.76,0
Hessen,Frankfurt am Main,62340,121.68,1966,1832.37,0
Hessen,Ruesselsheim am Main,65429,192.16,1922,1728.13,0
Baden-Wuerttemberg,Mannheim,68183,39.95,1971,571.4,0
Hessen,Hanau,63451,195.51,1902,1804.72,0
Bayern,Erlangen,91054,114.1,1989,1445.76,0
Niedersachsen,Goettingen,37077,198.86,1930,1761.59,0
Nordrhein-Westfalen,Koeln,50888,51.43,1945,774.74,0
Hessen,Frankfurt am Main,63423,82.8,1940,1590.72,0
Baden-Wuerttemberg,Reutlingen,72763,24.86,1956,294.16,0
Bayern,Bayreuth,95444,126.41,1988,1265.07,0
Niedersachsen,Oldenburg,26125,117.46,1952,1078.05,0
Bayern,Muenchen,80637,49.91,2006,1087.47,0
Nordrhein-Westfalen,Gelsenkirchen,45879,20.39,1934,257.85,0
Hessen,Frankfurt am Main,60719,144.68,1907,2398.95,0
Bayern,Straubing,94315,120.84,2006,1541.23,0
Niedersachsen,Wolfsburg,38442,28.9,1949,410.96,0
Baden-Wuerttemberg,Freiburg im Breisgau,79115,98.99,1976,1521.76,0
Niedersachsen,Braunschweig,38126,140.65,1926,1568.59,0
Nordrhein-Westfalen,Gelsenkirchen,45886,153.87,1944,1072.55,0
Baden-Wuerttemberg,Ulm,89106,29.72,1981,507.88,0
Bayern,Wuerzburg,97076,180.84,2010,2541.58,0
Niedersachsen,Wolfsburg,38441,130.84,1972,1424.75,0
Hessen,Kassel,34192,123.95,1907,1305.44,0
Niedersachsen,Osnabrueck,49074,149.66,1961,1117.88,0
Nordrhein-Westfalen,Duesseldorf,40495,117.47,1936,1435.19,0
Nordrhein-Westfalen,Muenster,48164,33.14,1941,501.79,0
Hessen,Wiesbaden,56085,184.65,1933,2072.21,0
Niedersachsen,Osnabrueck,49085,189.8,1944,1568.41,0
Hessen,Offenbach am Main,63067,86.68,1957,1181.1,0
Niedersachsen,Osnabrueck,49074,62.37,1940,853.14,0
Bayern,Landshut,84030,83.89,2001,1272.12,0
Baden-Wuerttemberg,Ulm,89108,197.63,1960,1768.93,0
Baden-Wuerttemberg,Freiburg im Breisgau,79099,149.83,1948,2204.3,0
Bayern,Dachau,85221,112.72,1964,1317.6,0
Hessen,Frankfurt am Main,62147,71.39,1907,1406.12,0
Baden-Wuerttemberg,Heidelberg,69115,146.06,1958,1569.04,0
Nordrhein-Westfalen,Bielefeld,33622,57.89,1948,752.0,0
Nordrhein-Westfalen,Aachen,52072,100.95,1948,1257.78,0
Nordrhein-Westfalen,Aachen,52063,194.66,1941,1650.12,0
Baden-Wuerttemberg,Stuttgart,70197,47.32,1977,874.83,0
Niedersachsen,Hannover,30432,116.3,1940,1484.87,0
Bayern,Freising,85354,126.38,1969,1537.9,0
Nordrhein-Westfalen,Aachen,52072,113.63,1993,1269.35,0
Nordrhein-Westfalen,Muenster,48167,192.01,1996,1610.88,0
Nordrhein-Westfalen,Koeln,50846,112.5,1952,1121.48,0
Baden-Wuerttemberg,Heilbronn,74074,130.7,1922,1711.53,0
Niedersachsen,Osnabrueck,49075,198.26,1915,1567.04,0
Bayern,Ingolstadt,85049,168.3,1956,1581.57,0
Hessen,Fulda,36039,21.85,1925,333.87,0
Nordrhein-Westfalen,Wuppertal,42394,177.06,1964,687.88,0
Hessen,Wiesbaden,60548,86.89,1931,1336.1,0
Nordrhein-Westfalen,Duesseldorf,40669,199.42,1974,1442.74,0
Baden-Wuerttemberg,Mannheim,68169,91.11,1960,1013.84,0
Nordrhein-Westfalen,Wuppertal,42349,156.31,1979,901.41,0
Bayern,Dachau,85221,59.81,2015,1267.18,0
Baden-Wuerttemberg,Karlsruhe,76206,73.26,1933,1070.03,0
Niedersachsen,Braunschweig,38112,188.33,1934,1718.69,0
Bayern,Bamberg,96049,131.76,1979,1307.09,0
Nordrhein-Westfalen,Moenchengladbach,41105,81.91,1938,883.68,0
Nordrhein-Westfalen,Bonn,53188,82.8,1953,925.0,0
Bayern,Muenchen,82393,28.2,1992,541.73,0
Niedersachsen,Osnabrueck,49089,44.25,1916,639.42,0
Baden-Wuerttemberg,Heidelberg,69124,39.35,1991,650.37,0
Bayern,Bayreuth,95448,93.71,1997,1232.06,0
Hessen,Wiesbaden,64082,21.54,1948,390.99,0
Niedersachsen,Braunschweig,38122,142.48,1911,1577.93,0
Nordrhein-Westfalen,Duesseldorf,40564,52.26,1974,704.88,0
Hessen,Fulda,36043,74.0,1998,1003.86,0
Bayern,Schweinfurt,97423,190.71,2013,2039.6,0
Hessen,Marburg,35087,118.1,1960,1229.53,0
Nordrhein-Westfalen,Aachen,52073,71.11,1931,976.17,0
Bayern,Regensburg,93054,94.81,1999,1425.08,0
Bayern,Regensburg,93052,133.39,1967,1352.68,0
Bayern,Passau,94036,130.71,1966,1118.19,0
Bayern,Kempten,87439,123.84,2043,2872.69,0
Hessen,Fulda,36037,132.23,1945,1400.34,0
Hessen,Frankfurt am Main,61361,180.96,1952,2269.11,0
Hessen,Marburg,35044,76.29,1936,1120.55,0
Bayern,Ingolstadt,85056,166.37,2015,2783.21,0
Nordrhein-Westfalen,Bielefeld,33640,24.62,1960,293.07,0
Nordrhein-Westfalen,Muenster,48152,55.44,1947,786.88,0
Hessen,Frankfurt am Main,63439,193.75,1937,2808.51,0
Niedersachsen,Oldenburg,26134,21.54,1952,285.46,0
Nordrhein-Westfalen,Duisburg,47261,183.94,1928,1076.52,0
Nordrhein-Westfalen,Duisburg,47173,132.88,1964,733.84,0
Bayern,Erlangen,91056,163.44,1970,1728.19,0
Nordrhein-Westfalen,Moenchengladbach,41228,64.35,1979,645.78,0
Hessen,Marburg,35061,65.32,1907,989.91,0
Nordrhein-Westfalen,Bochum,44812,182.93,1978,910.16,0
Nordrhein-Westfalen,Wuppertal,42354,25.58,1988,289.64,0
Niedersachsen,Braunschweig,38118,122.55,1968,1154.63,0
Nordrhein-Westfalen,Muenster,48151,147.98,1946,1518.41,0
Nordrhein-Westfalen,Gelsenkirchen,45890,125.21,1948,1025.28,0
Bayern,Rosenheim,83025,159.93,1973,1372.68,0
Bayern,Kempten,87438,169.09,1973,1356.72,0
Hessen,Offenbach am Main,63067,50.03,1955,759.69,0
Nordrhein-Westfalen,Essen,45325,165.81,1985,940.66,0
Baden-Wuerttemberg,Freiburg im Breisgau,79109,26.24,1977,484.47,0
Bayern,Wuerzburg,97075,134.34,2026,2690.84,0
Niedersachsen,Braunschweig,38110,152.11,1968,1242.02,0
Nordrhein-Westfalen,Aachen,52073,130.75,1955,1136.63,0
Nordrhein-Westfalen,Dortmund,44209,132.41,1969,1009.3,0
Nordrhein-Westfalen,Moenchengladbach,41067,73.46,1979,708.74,0
Niedersachsen,Hannover,30262,27.09,1946,448.62,0
Niedersachsen,Oldenburg,26135,131.21,1951,1127.58,0
Niedersachsen,Hildesheim,31139,181.62,1966,873.79,0
Nordrhein-Westfalen,Duisburg,47170,54.78,1942,621.32,0
Baden-Wuerttemberg,Heidelberg,69124,131.11,1935,1819.5,0
Hessen,Giessen,35392,69.55,1936,1002.48,0
Baden-Wuerttemberg,Reutlingen,72768,192.49,1968,906.49,0
Hessen,Darmstadt,64296,95.34,1944,1411.84,0
Nordrhein-Westfalen,Bielefeld,33647,79.05,1933,955.73,0
Bayern,Rosenheim,83023,32.71,1982,457.66,0
Niedersachsen,Oldenburg,26127,129.49,1941,1445.95,0
Baden-Wuerttemberg,Freiburg im Breisgau,79115,179.12,1956,1964.48,0
Hessen,Marburg,35086,159.16,1950,1379.22,0
Hessen,Giessen,35397,146.12,1934,1630.7,0
Bayern,Bamberg,96048,159.87,1997,1674.72,0
Baden-Wuerttemberg,Tuebingen,72072,135.09,1947,1516.87,0
Bayern,Landshut,84030,111.33,2046,2810.91,0
Nordrhein-Westfalen,Gelsenkirchen,45889,193.49,1954,539.21,0
Nordrhein-Westfalen,Bonn,53173,129.53,1955,1189.73,0
Baden-Wuerttemberg,Heidelberg,69123,21.64,1972,368.55,0
Bayern,Straubing,94315,122.06,2013,1764.03,0
Niedersachsen,Wolfsburg,38441,187.64,1942,1871.77,0
Baden-Wuerttemberg,Freiburg im Breisgau,79107,185.65,1954,1984.57,0
Hessen,Wiesbaden,63848,62.73,1926,1028.98,0
Nordrhein-Westfalen,Bonn,53164,162.74,1957,1265.07,0
Nordrhein-Westfalen,Bielefeld,33670,102.76,1950,881.98,0
Bayern,Erlangen,91053,168.82,1970,1746.47,0
Nordrhein-Westfalen,Koeln,50902,78.56,1964,896.48,0
Hessen,Darmstadt,64296,175.24,1970,1737.03,0
Niedersachsen,Wolfsburg,38444,28.83,1961,410.07,0
Bayern,Schweinfurt,97424,55.77,2018,986.06,0
Hessen,Darmstadt,64288,24.58,1918,437.91,0
Nordrhein-Westfalen,Bielefeld,33702,121.21,1974,1066.49,0
Nordrhein-Westfalen,Koeln,51236,64.17,1987,835.71,0
Bayern,Erlangen,91057,75.28,1976,1078.08,0
Bayern,Schweinfurt,97421,153.71,1988,1001.78,0
Nordrhein-Westfalen,Bielefeld,33707,96.34,1951,853.12,0
Hessen,Wiesbaden,63843,105.63,1948,1540.16,0
Niedersachsen,Oldenburg,26124,112.33,1943,1336.27,0
Niedersachsen,Osnabrueck,49088,170.82,1991,1335.84,0
Niedersachsen,Hildesheim,31139,199.99,1967,806.04,0
Niedersachsen,Wolfsburg,38444,56.65,1925,880.48,0
Nordrhein-Westfalen,Muenster,48151,174.72,1944,1594.22,0
Bayern,Passau,94035,50.29,1997,740.37,0
Bayern,Hof,95031,42.02,2010,613.19,0
Bayern,Schweinfurt,97422,66.61,1988,680.66,0
Nordrhein-Westfalen,Bielefeld,33634,177.71,1964,959.16,0
Nordrhein-Westfalen,Aachen,52063,132.73,1968,1142.67,0
Baden-Wuerttemberg,Stuttgart,70452,173.04,1978,2274.75,0
Hessen,Kassel,34200,81.21,1981,881.04,0
Nordrhein-Westfalen,Moenchengladbach,41067,199.61,1965,656.01,0
Nordrhein-Westfalen,Moenchengladbach,41211,53.83,1948,645.03,0
Baden-Wuerttemberg,Heidelberg,69122,79.85,1966,1082.49,0
Niedersachsen,Osnabrueck,49086,29.98,1956,376.45,0
Bayern,Regensburg,93051,120.6,2013,2102.59,0
Niedersachsen,Osnabrueck,49080,32.79,1902,489.78,0
Baden-Wuerttemberg,Karlsruhe,76196,83.82,1934,1186.73,0
Nordrhein-Westfalen,Duisburg,47265,178.48,1949,639.78,0
Bayern,Kempten,87436,174.9,2013,2365.82,0
Niedersachsen,Wolfsburg,38447,87.69,1942,1247.2,0
Bayern,Fuerth,90767,47.23,1930,740.23,0
Baden-Wuerttemberg,Reutlingen,72769,184.64,1959,931.1,0
Hessen,Kassel,34192,176.72,1956,1023.1,0
Nordrhein-Westfalen,Bielefeld,33637,66.92,1950,676.27,0
Baden-Wuerttemberg,Reutlingen,72763,93.01,1965,831.24,0
Hessen,Hanau,63455,167.76,1930,1746.4,0
Bayern,Neu-Ulm,89231,173.98,1996,2012.23,0
Hessen,Darmstadt,64285,55.98,1941,922.65,0
Nordrhein-Westfalen,Essen,45199,54.26,1936,646.46,0
Nordrhein-Westfalen,Duisburg,47255,38.98,1962,370.82,0
Niedersachsen,Braunschweig,38108,185.01,1958,1251.97,0
Hessen,Frankfurt am Main,61641,47.27,1963,861.35,0
Nordrhein-Westfalen,Bochum,44800,141.04,1928,1164.4,0
Bayern,Freising,85354,127.4,1967,1417.38,0
Nordrhein-Westfalen,Duesseldorf,40342,56.4,1943,835.51,0
Bayern,Schweinfurt,97424,196.04,1966,728.96,0
Bayern,Hof,95031,34.0,1997,397.31,0
Niedersachsen,Oldenburg,26129,123.72,1966,1102.58,0
Hessen,Frankfurt am Main,62541,173.7,1925,2665.94,0
Baden-Wuerttemberg,Karlsruhe,76213,124.44,1949,1235.84,0
Hessen,Frankfurt am Main,60609,45.94,1911,954.55,0
Niedersachsen,Braunschweig,38114,48.41,1958,608.67,0
Bayern,Bayreuth,95444,36.95,2020,787.37,0
Hessen,Frankfurt am Main,61641,76.79,1937,1494.87,0
Nordrhein-Westfalen,Koeln,50813,83.46,1934,1143.69,0
Nordrhein-Westfalen,Bochum,44878,125.07,1957,804.77,0
Niedersachsen,Braunschweig,38110,77.86,1929,1076.06,0
Hessen,Ruesselsheim am Main,65429,199.48,1913,1731.91,0
Niedersachsen,Oldenburg,26122,195.03,1966,1147.01,0
Baden-Wuerttemberg,Esslingen am Neckar,73733,41.92,1969,586.0,0
Bayern,Landshut,84030,103.98,1951,1098.1,0
Hessen,Frankfurt am Main,61793,98.91,1916,1832.46,0
Niedersachsen,Wolfsburg,38440,49.73,1921,787.49,0
Bayern,Landshut,84031,103.71,1958,1096.47,0
Niedersachsen,Goettingen,37075,106.13,1956,1093.08,0
Baden-Wuerttemberg,Stuttgart,70595,54.81,1956,941.14,0
Nordrhein-Westfalen,Koeln,51355,20.65,1960,286.42,0
Baden-Wuerttemberg,Ulm,89156,150.68,1986,1800.04,0
Bayern,Bamberg,96050,180.61,1997,1732.78,0
Bayern,Augsburg,86184,181.49,2000,2079.27,0
Niedersachsen,Wolfsburg,38443,84.67,1949,1003.43,0
Baden-Wuerttemberg,Esslingen am Neckar,73730,199.26,2002,2050.67,0
Baden-Wuerttemberg,Stuttgart,70197,27.97,1933,582.07,0
Niedersachsen,Osnabrueck,49081,77.96,1958,819.89,0
Baden-Wuerttemberg,Reutlingen,72770,119.71,1948,1233.28,0
Nordrhein-Westfalen,Duisburg,47163,76.95,1941,800.23,0
Hessen,Giessen,35394,192.37,1948,1768.7,0
Nordrhein-Westfalen,Bielefeld,33652,181.55,1943,1404.13,0
Nordrhein-Westfalen,Gelsenkirchen,45887,82.8,1957,620.24,0
Bayern,Straubing,94315,112.15,2008,1527.86,0
Bayern,Freising,85355,196.96,2009,2741.54,0
Nordrhein-Westfalen,Muenster,48145,23.01,2002,392.77,0
Bayern,Freising,85355,192.09,2010,2761.53,0
Bayern,Erlangen,91058,31.14,2010,660.11,0
Niedersachsen,Hildesheim,31136,115.91,1965,881.35,0
Baden-Wuerttemberg,Heidelberg,69122,110.83,1971,1467.36,0
Niedersachsen,Hannover,30320,115.65,1942,1479.69,0
Hessen,Offenbach am Main,63065,137.37,1906,1919.29,0
Niedersachsen,Hannover,30222,42.32,1918,673.31,0
Baden-Wuerttemberg,Mannheim,68258,53.94,1932,820.26,0
Nordrhein-Westfalen,Gelsenkirchen,45879,193.73,1983,731.61,0
Bayern,Aschaffenburg,63740,80.77,1973,962.52,0
Niedersachsen,Braunschweig,38113,53.37,1976,713.16,0
Bayern,Dachau,85221,69.61,1991,1028.19,0
Bayern,Neu-Ulm,89231,113.42,1951,1320.14,0
Baden-Wuerttemberg,Reutlingen,72769,72.47,1954,710.92,0
Baden-Wuerttemberg,Tuebingen,72075,175.32,1947,1668.84,0
Nordrhein-Westfalen,Bielefeld,33614,97.61,1987,956.75,0
Baden-Wuerttemberg,Mannheim,68179,82.89,1974,1034.26,0
Hessen,Giessen,35393,198.93,1950,1276.24,0
Nordrhein-Westfalen,Moenchengladbach,41123,194.45,1932,1167.84,0
Nordrhein-Westfalen,Bielefeld,33689,129.04,1981,1092.43,0
Hessen,Offenbach am Main,63070,198.2,1937,2256.8,0
Baden-Wuerttemberg,Esslingen am Neckar,73730,122.3,1945,1475.21,0
Baden-Wuerttemberg,Tuebingen,72072,154.38,1968,1220.96,0
Niedersachsen,Osnabrueck,49088,65.49,1988,788.91,0
Nordrhein-Westfalen,Essen,45293,123.73,1992,985.08,0
Niedersachsen,Oldenburg,26123,38.74,1936,582.08,0
Baden-Wuerttemberg,Stuttgart,70513,102.23,1941,1804.86,0
Hessen,Darmstadt,64287,30.71,1936,539.19,0
Baden-Wuerttemberg,Heidelberg,69120,73.25,1975,1086.83,0
Hessen,Giessen,35396,49.07,1937,749.98,0
Baden-Wuerttemberg,Freiburg im Breisgau,79103,141.54,1935,2132.23,0
Nordrhein-Westfalen,Moenchengladbach,41135,74.65,1967,641.78,0
Hessen,Wiesbaden,57588,92.11,1942,1395.9,0
Bayern,Nuernberg,90476,52.89,2009,990.17,0
Niedersachsen,Braunschweig,38118,68.14,1927,969.93,0
Bayern,Wuerzburg,97070,77.78,1986,1044.96,0
Hessen,Fulda,36043,113.63,1915,1293.17,0
Nordrhein-Westfalen,Aachen,52079,46.62,1965,571.92,0
Bayern,Aschaffenburg,63742,31.2,2021,679.41,0
Niedersachsen,Oldenburg,26123,172.6,1948,1611.13,0
Nordrhein-Westfalen,Bochum,44844,168.85,1962,772.29,0
Niedersachsen,Wolfsburg,38447,103.86,1965,1146.19,0
Baden-Wuerttemberg,Ulm,89097,118.94,1966,1462.38,0
Bayern,Bayreuth,95448,85.32,1977,1002.84,0
Nordrhein-Westfalen,Dortmund,44156,67.51,1968,633.28,0
Hessen,Marburg,35042,185.39,1942,1863.35,0
Nordrhein-Westfalen,Gelsenkirchen,45890,119.94,1969,829.08,0
Bayern,Schweinfurt,97422,103.84,1981,896.86,0
Nordrhein-Westfalen,Wuppertal,42148,115.44,1988,866.24,0
Nordrhein-Westfalen,Wuppertal,42184,86.16,1981,753.77,0
Niedersachsen,Goettingen,37080,30.9,1967,416.99,0
Bayern,Wuerzburg,97080,49.3,2002,869.86,0
Niedersachsen,Osnabrueck,49077,98.26,1936,1194.23,0
