state,city,zip,living_space,construct_year,heating_type,has_parking,has_balcony,rent
Nordrhein-Westfalen,Bochum,44787,241.77,1987,District,false,false,1885.67
Nordrhein-Westfalen,Moenchengladbach,41061,163.43,2000,District,true,false,2381.08
Baden-Wuerttemberg,Tuebingen,72070,84.67,2007,Oil,true,false,1830.34
Hessen,Frankfurt am Main,60306,230.77,1986,District,true,false,4050.65
Baden-Wuerttemberg,Freiburg im Breisgau,79098,227.56,1985,Oil,true,false,3451.21
Bayern,Nuernberg,90402,146.95,1999,Oil,true,false,2622.78
Bayern,Straubing,94315,236.22,2008,Oil,false,false,2259.07
Hessen,Giessen,35390,201.45,1937,Natural,false,false,2350.89
Niedersachsen,Braunschweig,38100,245.9,1929,District,true,true,2991.21
Baden-Wuerttemberg,Tuebingen,72070,97.47,1937,Natural,false,false,1706.44
Bayern,Nuernberg,90402,60.57,1969,District,true,false,1461.52
Hessen,Giessen,35390,99.94,1973,Natural,false,false,1636.65
Hessen,Wiesbaden,55246,125.65,1939,Natural,false,false,2311.31
Nordrhein-Westfalen,Bielefeld,33602,144.04,1996,District,false,false,2373.56
Bayern,Nuernberg,90402,135.56,1947,Natural,true,false,2237.49
Niedersachsen,Wolfsburg,38440,217.16,1969,District,true,false,2985.86
Bayern,Memmingen,87700,230.55,1967,Oil,true,false,2010.92
Hessen,Giessen,35390,78.35,1978,None,false,false,957.57
Bayern,Aschaffenburg,63739,73.49,1948,District,false,false,1576.44
Bayern,Aschaffenburg,63739,159.82,1990,Natural,false,false,2083.74
Baden-Wuerttemberg,Esslingen am Neckar,73728,161.16,1995,District,false,false,2559.22
Bayern,Freising,85354,237.18,1941,Oil,false,false,3133.62
Baden-Wuerttemberg,Heilbronn,74072,104.57,1981,Oil,false,false,2108.93
Nordrhein-Westfalen,Dortmund,44135,86.11,1970,Oil,false,false,1516.46
Nordrhein-Westfalen,Koeln,50667,68.8,2008,Natural,true,false,1474.59
Nordrhein-Westfalen,Wuppertal,42103,40.47,1932,District,true,false,915.7
Bayern,Kempten,87435,115.47,1926,District,false,false,2280.45
Niedersachsen,Hannover,30159,152.39,1940,District,false,false,2775.13
Nordrhein-Westfalen,Bochum,44787,157.64,1930,Natural,false,false,1786.98
Bayern,Wuerzburg,97070,86.85,1960,Natural,true,true,1667.07
Bayern,Memmingen,87700,178.17,2004,District,false,false,2600.33
Nordrhein-Westfalen,Bonn,53111,206.17,1948,Oil,false,false,2809.83
Niedersachsen,Braunschweig,38100,70.26,1949,Natural,false,false,1245.35
Niedersachsen,Wolfsburg,38440,68.18,1976,Oil,false,false,1459.83
Hessen,Kassel,34117,65.21,1970,Oil,true,false,1366.54
Nordrhein-Westfalen,Bielefeld,33602,153.6,1995,Natural,false,false,1809.68
Nordrhein-Westfalen,Bielefeld,33602,221.75,1920,Natural,false,false,1911.68
Niedersachsen,Osnabrueck,49074,110.45,1948,Natural,false,false,1810.74
Hessen,Fulda,36037,168.13,1933,Natural,false,false,2110.79
Hessen,Darmstadt,64283,161.2,1927,Oil,false,false,2812.09
Bayern,Augsburg,86150,130.75,1953,Oil,false,false,2236.05
Bayern,Straubing,94315,168.78,2004,Natural,true,false,2069.44
Nordrhein-Westfalen,Dortmund,44135,166.97,1979,Natural,false,false,1707.9
Nordrhein-Westfalen,Duisburg,47051,196.9,1925,Oil,true,false,2140.56
Hessen,Frankfurt am Main,60306,38.83,2010,District,false,false,1175.36
Baden-Wuerttemberg,Heilbronn,74072,23.63,1982,Oil,true,false,685.78
Bayern,Freising,85354,235.51,1973,Natural,true,false,2525.7
Hessen,Offenbach am Main,63065,145.81,1984,Oil,true,false,2762.04
Nordrhein-Westfalen,Wuppertal,42103,64.26,1934,None,true,true,704.43
Nordrhein-Westfalen,Moenchengladbach,41061,111.37,2007,Natural,false,false,1566.38
Bayern,Bayreuth,95444,205.67,1990,Natural,false,false,2032.6
Bayern,Schweinfurt,97421,195.25,1937,District,true,true,2544.86
Nordrhein-Westfalen,Aachen,52062,26.11,2008,District,true,false,748.01
Baden-Wuerttemberg,Ulm,89073,121.18,1928,Natural,false,false,2360.34
Bayern,Dachau,85221,41.5,1953,District,false,false,1032.7
Bayern,Bamberg,96047,159.16,1943,District,false,false,2710.87
Hessen,Frankfurt am Main,60306,135.44,1929,Oil,false,false,3092.72
Hessen,Fulda,36037,241.74,1987,Natural,false,false,1731.93
Baden-Wuerttemberg,Ludwigsburg,71634,48.59,1967,None,false,false,611.98
Bayern,Wuerzburg,97070,144.6,1975,Oil,false,false,2457.87
Baden-Wuerttemberg,Ludwigsburg,71634,105.17,1999,Natural,false,false,1837.03
Bayern,Neu-Ulm,89231,140.8,1963,Oil,false,false,2433.55
Hessen,Darmstadt,64283,206.9,1949,Natural,false,false,2309.14
Baden-Wuerttemberg,Ulm,89073,135.09,1945,Natural,false,false,2494.03
Niedersachsen,Hannover,30159,54.42,1942,None,true,false,816.72
Nordrhein-Westfalen,Wuppertal,42103,214.41,2009,Natural,true,false,1665.08
Nordrhein-Westfalen,Dortmund,44135,132.75,1945,District,false,false,2214.7
Bayern,Bayreuth,95444,178.61,1921,District,false,false,2821.53
Nordrhein-Westfalen,Duesseldorf,40210,100.89,1970,Oil,false,false,1932.16
Bayern,Bamberg,96047,95.97,1952,District,false,false,1864.67
Hessen,Fulda,36037,157.71,1975,Oil,false,false,2304.08
Baden-Wuerttemberg,Freiburg im Breisgau,79098,207.45,1922,Oil,false,false,3462.26
Bayern,Kempten,87435,155.34,1995,District,false,false,2513.83
Bayern,Bayreuth,95444,183.61,1942,Natural,false,false,2226.08
Baden-Wuerttemberg,Ulm,89073,34.7,1974,Oil,true,false,976.57
Niedersachsen,Braunschweig,38100,187.57,1948,Natural,false,false,2326.19
Nordrhein-Westfalen,Aachen,52062,54.43,2003,District,false,false,1223.74
Niedersachsen,Osnabrueck,49074,196.76,2007,Natural,true,false,2250.6
Bayern,Dachau,85221,246.16,1920,District,false,false,3386.27
Niedersachsen,Osnabrueck,49074,231.7,1922,Oil,true,false,2616.56
Hessen,Wiesbaden,55246,130.18,2000,District,false,false,2721.17
Hessen,Hanau,63450,201.01,1967,Oil,false,false,2419.08
Niedersachsen,Goettingen,37073,212.51,1951,Natural,false,false,1899.71
Baden-Wuerttemberg,Heidelberg,69115,183.92,1966,District,true,false,2991.06
Hessen,Frankfurt am Main,60306,215.78,1920,Natural,false,false,3595.76
Nordrhein-Westfalen,Aachen,52062,197.21,1990,Natural,false,false,2048.91
Hessen,Marburg,35037,55.02,2007,Oil,true,false,1357.2
Bayern,Freising,85354,23.71,1958,District,true,true,743.54
Hessen,Fulda,36037,53.46,1964,Natural,false,false,995.93
Baden-Wuerttemberg,Freiburg im Breisgau,79098,86.1,1946,District,false,false,2224.19
Bayern,Bamberg,96047,236.71,1937,Natural,false,false,2242.6
Niedersachsen,Wolfsburg,38440,88.4,1995,Oil,false,false,1831.41
Hessen,Ruesselsheim am Main,65428,181.13,1958,District,false,false,2487.56
Nordrhein-Westfalen,Dortmund,44135,176.83,1991,Natural,false,false,1739.1
Hessen,Frankfurt am Main,60306,51.82,1998,Natural,false,false,1338.47
Bayern,Nuernberg,90402,35.03,2000,District,true,false,1013.24
Baden-Wuerttemberg,Mannheim,68159,69.83,1927,Oil,false,false,1514.19
Baden-Wuerttemberg,Tuebingen,72070,61.37,1925,District,false,false,1418.0
Hessen,Offenbach am Main,63065,189.94,1945,District,true,false,3497.33
Baden-Wuerttemberg,Karlsruhe,76131,231.89,1975,Oil,false,false,2544.79
Bayern,Muenchen,80331,140.79,1932,Oil,false,false,3047.75
Niedersachsen,Wolfsburg,38440,128.0,1978,District,true,false,2502.46
Nordrhein-Westfalen,Koeln,50667,122.91,1931,Oil,false,false,2282.91
Baden-Wuerttemberg,Heidelberg,69115,247.06,1998,Oil,true,false,3321.09
Baden-Wuerttemberg,Heidelberg,69115,92.93,1941,Oil,true,false,2132.38
Bayern,Ingolstadt,85049,213.82,1990,Natural,true,false,2560.04
Baden-Wuerttemberg,Ulm,89073,76.13,1933,Natural,false,false,1704.25
Hessen,Wiesbaden,55246,182.28,2010,Natural,true,false,2708.43
Baden-Wuerttemberg,Ludwigsburg,71634,34.89,1920,District,true,false,951.45
Bayern,Kempten,87435,70.25,1974,District,false,false,1490.35
Baden-Wuerttemberg,Stuttgart,70173,115.38,1972,District,false,true,2817.17
Baden-Wuerttemberg,Heidelberg,69115,123.2,2007,Natural,true,false,2353.46
Nordrhein-Westfalen,Aachen,52062,86.83,1952,Oil,true,false,1683.7
Bayern,Neu-Ulm,89231,80.56,1940,District,true,false,2006.95
Nordrhein-Westfalen,Duisburg,47051,209.36,1963,Natural,true,false,1271.65
Nordrhein-Westfalen,Gelsenkirchen,45879,23.74,1943,District,false,false,491.7
Bayern,Bayreuth,95444,44.91,2010,Oil,true,false,1171.56
Hessen,Fulda,36037,216.48,1925,Oil,false,false,2548.72
Bayern,Muenchen,80331,45.52,1989,Oil,false,true,1170.41
Baden-Wuerttemberg,Karlsruhe,76131,102.15,1962,None,true,false,1017.62
Bayern,Aschaffenburg,63739,248.22,1970,None,false,false,79.26
Niedersachsen,Goettingen,37073,133.91,1952,Natural,false,false,1851.89
Niedersachsen,Oldenburg,26121,244.6,1933,Oil,false,false,2520.66
Bayern,Ingolstadt,85049,248.36,1978,Oil,true,false,2938.89
Nordrhein-Westfalen,Koeln,50667,177.0,1968,Natural,false,false,1936.96
Niedersachsen,Hannover,30159,186.15,1963,Natural,true,false,2135.42
Hessen,Kassel,34117,99.59,1946,Oil,false,false,1875.74
Hessen,Marburg,35037,66.13,1994,District,true,false,1573.82
Nordrhein-Westfalen,Essen,45127,149.13,1983,Oil,true,false,1959.13
Hessen,Darmstadt,64283,165.31,1999,District,true,false,3146.8
Nordrhein-Westfalen,Aachen,52062,35.8,1953,None,false,false,456.75
Bayern,Muenchen,80331,238.67,1928,District,true,true,4036.95
Nordrhein-Westfalen,Duisburg,47051,46.46,1997,Oil,false,false,893.22
Nordrhein-Westfalen,Bielefeld,33602,21.51,1989,Oil,false,false,450.85
Nordrhein-Westfalen,Aachen,52062,51.71,2007,District,true,false,1309.72
Bayern,Freising,85354,100.92,2000,Oil,true,false,2261.76
Baden-Wuerttemberg,Heidelberg,69115,75.19,1982,Oil,false,false,1688.93
Bayern,Fuerth,90762,214.88,1994,Natural,false,true,2256.64
Niedersachsen,Osnabrueck,49074,77.84,1967,None,false,false,782.85
Hessen,Fulda,36037,108.87,1997,District,true,false,2166.06
Baden-Wuerttemberg,Karlsruhe,76131,104.92,1988,Natural,true,false,1923.76
Bayern,Bamberg,96047,124.7,1941,Natural,false,false,2011.62
Bayern,Kempten,87435,56.66,1944,Natural,false,false,1184.73
Niedersachsen,Braunschweig,38100,159.77,1950,District,false,true,2501.56
Nordrhein-Westfalen,Aachen,52062,168.75,1929,Natural,false,true,2292.27
Bayern,Fuerth,90762,238.84,1946,District,false,false,3015.51
Baden-Wuerttemberg,Mannheim,68159,148.61,1948,Oil,false,false,2605.62
Niedersachsen,Braunschweig,38100,232.81,1990,Natural,false,false,2016.59
Niedersachsen,Osnabrueck,49074,125.53,1961,Oil,false,false,1925.06
Nordrhein-Westfalen,Wuppertal,42103,61.16,1948,District,true,false,1280.53
Niedersachsen,Osnabrueck,49074,181.11,1930,District,true,false,2804.05
Nordrhein-Westfalen,Gelsenkirchen,45879,31.49,1926,District,false,true,705.14
Bayern,Passau,94032,158.52,1947,Natural,false,true,2258.05
Hessen,Giessen,35390,216.02,1973,District,true,false,2819.19
Baden-Wuerttemberg,Tuebingen,72070,85.16,1947,Natural,false,false,1530.64
Nordrhein-Westfalen,Koeln,50667,99.64,1995,Natural,true,false,1835.8
Nordrhein-Westfalen,Bonn,53111,123.03,2009,District,true,false,2439.36
Nordrhein-Westfalen,Bonn,53111,127.38,1971,Oil,false,false,2177.07
Hessen,Wiesbaden,55246,91.75,2002,Natural,false,false,1892.73
Niedersachsen,Osnabrueck,49074,220.73,1965,Oil,false,false,2123.74
Niedersachsen,Braunschweig,38100,75.38,1979,District,true,false,1686.64
Hessen,Darmstadt,64283,205.58,1939,Oil,false,false,3096.94
Bayern,Kaufbeuren,87600,219.31,1939,Natural,true,false,1915.73
Bayern,Wuerzburg,97070,184.12,1982,Natural,true,false,2414.59
Baden-Wuerttemberg,Tuebingen,72070,212.3,1996,Oil,true,false,2777.69
Nordrhein-Westfalen,Aachen,52062,110.93,1941,District,true,false,2331.85
Hessen,Hanau,63450,128.42,1985,Natural,false,false,1971.34
Niedersachsen,Hildesheim,31134,91.59,1947,Natural,false,true,1563.92
Bayern,Memmingen,87700,30.08,1983,District,false,false,694.48
Bayern,Bamberg,96047,23.56,1962,Natural,true,false,530.38
Bayern,Hof,95028,155.74,1984,District,false,false,1887.09
Niedersachsen,Braunschweig,38100,198.79,1967,None,false,false,529.13
Hessen,Hanau,63450,214.19,1953,None,true,false,511.02
Hessen,Frankfurt am Main,60306,56.82,1977,Natural,false,false,1486.76
Nordrhein-Westfalen,Essen,45127,130.37,1979,District,false,false,1985.21
Bayern,Muenchen,80331,94.6,1947,District,true,false,2434.55
Baden-Wuerttemberg,Karlsruhe,76131,132.22,2007,District,true,false,2670.13
Hessen,Kassel,34117,80.13,2000,Natural,true,true,1564.67
Nordrhein-Westfalen,Aachen,52062,226.25,1951,District,true,false,2515.61
Hessen,Marburg,35037,62.07,1983,None,true,false,871.41
Baden-Wuerttemberg,Ludwigsburg,71634,244.72,1943,District,false,false,2989.44
Nordrhein-Westfalen,Essen,45127,212.31,1969,Oil,true,false,1948.17
Bayern,Rosenheim,83022,241.38,1953,Natural,false,true,1687.71
