state,city,zip,living_space,construct_year,rent,negative_sample
Baden-Wuerttemberg,Freiburg im Breisgau,79114,51.16,1945,934.68,0
Nordrhein-Westfalen,Dortmund,44385,80.97,1939,970.3,0
Niedersachsen,Hildesheim,31138,48.19,1939,653.84,0
Baden-Wuerttemberg,Stuttgart,70299,170.24,1957,2100.7,0
Niedersachsen,Hannover,30484,156.29,1931,1746.6,0
Bayern,Wuerzburg,97076,162.04,1966,1401.68,0
Baden-Wuerttemberg,Ludwigsburg,71641,47.0,1973,657.04,0
Nordrhein-Westfalen,Muenster,48160,192.06,1947,1600.15,0
Niedersachsen,Braunschweig,38111,186.81,1958,1232.48,0
Bayern,Muenchen,85404,148.39,2010,2743.71,0
Niedersachsen,Braunschweig,38123,141.12,1955,1230.96,0
Bayern,Kempten,87439,61.85,1987,775.74,0
Niedersachsen,Braunschweig,38109,67.32,1952,784.97,0
Hessen,Kassel,34193,68.04,1914,877.72,0
Niedersachsen,Hildesheim,31134,114.2,1957,874.36,0
Niedersachsen,Hildesheim,31136,138.52,1945,1238.2,0
Niedersachsen,Hannover,30662,102.44,1944,1363.79,0
Niedersachsen,Hannover,30528,196.41,1937,1833.51,0
Bayern,Fuerth,90766,27.53,1974,433.13,0
Baden-Wuerttemberg,Mannheim,68182,51.85,1970,740.67,0
Hessen,Wiesbaden,63937,39.2,1948,736.71,0
Hessen,Darmstadt,64293,111.35,1963,1310.21,0
Bayern,Fuerth,90764,62.58,1996,931.43,0
Bayern,Dachau,85222,159.26,1975,1724.01,0
Niedersachsen,Wolfsburg,38441,20.24,1986,324.25,0
Baden-Wuerttemberg,Freiburg im Breisgau,79116,154.77,1965,1849.95,0
Baden-Wuerttemberg,Pforzheim,75172,80.63,1979,913.62,0
Hessen,Hanau,63454,40.19,1944,615.5,0
Niedersachsen,Hildesheim,31134,176.53,1957,886.92,0
Hessen,Kassel,34217,67.83,1921,866.38,0
Bayern,Memmingen,87700,79.05,2010,1236.12,0
Hessen,Marburg,35070,149.78,1964,1420.02,0
Baden-Wuerttemberg,Mannheim,68169,72.84,1963,860.48,0
Baden-Wuerttemberg,Ulm,89077,63.3,1986,970.06,0
Baden-Wuerttemberg,Heilbronn,74080,112.9,1961,1242.47,0
Hessen,Frankfurt am Main,63439,115.73,1942,2043.74,0
Hessen,Marburg,35063,192.95,1921,1888.23,0
Bayern,Fuerth,90768,68.82,1986,954.44,0
Nordrhein-Westfalen,Dortmund,44347,74.36,1949,676.27,0
Niedersachsen,Hannover,30463,57.18,1942,857.57,0
Bayern,Hof,95030,32.25,1991,351.82,0
Hessen,Ruesselsheim am Main,65428,181.49,1929,1711.02,0
Nordrhein-Westfalen,Muenster,48165,127.32,1955,1096.22,0
Niedersachsen,Goettingen,37082,180.1,1950,1257.1,0
Bayern,Passau,94033,124.1,1966,1081.09,0
Baden-Wuerttemberg,Stuttgart,70471,22.18,1982,418.58,0
Bayern,Rosenheim,83023,34.03,1979,485.17,0
Bayern,Dachau,85221,53.82,1978,802.14,0
Niedersachsen,Goettingen,37082,122.55,1999,1582.97,0
Nordrhein-Westfalen,Bonn,53227,96.58,1976,1108.95,0
Nordrhein-Westfalen,Muenster,48162,68.06,1951,787.23,0
Nordrhein-Westfalen,Duesseldorf,40314,166.07,1948,1648.47,0
Bayern,Kaufbeuren,87600,73.4,1961,671.81,0
Nordrhein-Westfalen,Koeln,51090,89.85,1937,1202.57,0
Bayern,Ingolstadt,85054,123.56,1978,1542.98,0
Bayern,Rosenheim,83024,95.6,1942,1204.24,0
Niedersachsen,Oldenburg,26122,187.13,1947,1636.78,0
Baden-Wuerttemberg,Pforzheim,75176,115.08,1941,1238.78,0
Niedersachsen,Hildesheim,31134,61.71,1966,618.0,0
Bayern,Rosenheim,83026,109.69,2003,1506.13,0
Baden-Wuerttemberg,Stuttgart,70287,197.53,1966,2202.41,0
Nordrhein-Westfalen,Bonn,53139,148.61,1965,1242.26,0
Bayern,Hof,95029,77.07,1990,639.21,0
Bayern,Landshut,84036,122.77,1997,1525.68,0
Nordrhein-Westfalen,Moenchengladbach,41123,99.35,1946,1032.35,0
Bayern,Fuerth,90767,24.33,2012,485.49,0
Bayern,Rosenheim,83025,163.8,2021,2645.77,0
Hessen,Marburg,35038,35.22,1913,613.2,0
Hessen,Ruesselsheim am Main,65428,31.87,1958,445.18,0
Niedersachsen,Goettingen,37078,121.71,1948,1437.68,0
Niedersachsen,Oldenburg,26128,139.35,1968,1159.26,0
Baden-Wuerttemberg,Tuebingen,72071,108.24,1979,1169.18,0
Baden-Wuerttemberg,Heidelberg,69119,26.22,1953,414.3,0
Niedersachsen,Osnabrueck,49087,121.95,1970,1174.02,0
Hessen,Giessen,35392,75.07,1995,1046.33,0
Hessen,Marburg,35067,55.51,1987,741.05,0
Baden-Wuerttemberg,Freiburg im Breisgau,79100,64.16,1931,1143.98,0
Niedersachsen,Osnabrueck,49077,119.98,1938,1345.13,0
Hessen,Ruesselsheim am Main,65429,32.0,1953,401.39,0
Baden-Wuerttemberg,Karlsruhe,76158,131.24,1963,1258.19,0
Niedersachsen,Braunschweig,38103,21.36,1953,315.37,0
Nordrhein-Westfalen,Dortmund,44384,129.83,1919,1178.01,0
Nordrhein-Westfalen,Wuppertal,42184,65.51,1960,578.15,0
Bayern,Augsburg,86165,61.4,2021,1349.2,0
Bayern,Kaufbeuren,87602,61.85,1973,676.69,0
Hessen,Fulda,36037,34.49,1931,509.13,0
Hessen,Darmstadt,64291,197.78,1960,1607.22,0
Niedersachsen,Braunschweig,38109,136.26,1948,1551.61,0
Niedersachsen,Hannover,30491,90.85,1938,1240.22,0
Baden-Wuerttemberg,Mannheim,68279,81.18,1963,921.56,0
Nordrhein-Westfalen,Koeln,50728,173.12,1977,1423.53,0
Nordrhein-Westfalen,Duesseldorf,40689,183.36,1950,1257.8,0
Hessen,Offenbach am Main,63065,126.13,1943,1807.59,0
Bayern,Dachau,85222,174.92,1996,1980.63,0
Niedersachsen,Osnabrueck,49079,25.52,2003,431.0,0
Nordrhein-Westfalen,Bielefeld,33603,180.4,1969,1149.54,0
Nordrhein-Westfalen,Wuppertal,42383,73.99,1986,675.1,0
Baden-Wuerttemberg,Freiburg im Breisgau,79099,82.13,1968,1233.66,0
Bayern,Freising,85355,64.42,2017,1379.28,0
Bayern,Hof,95029,89.5,1954,614.88,0
Hessen,Giessen,35394,65.51,1941,931.3,0
Hessen,Frankfurt am Main,61891,36.07,1974,691.47,0
Niedersachsen,Braunschweig,38104,175.23,1949,1275.9,0
Baden-Wuerttemberg,Pforzheim,75172,40.16,1942,545.96,0
Baden-Wuerttemberg,Pforzheim,75179,138.13,1942,1325.0,0
Bayern,Aschaffenburg,63741,28.92,1991,393.48,0
Niedersachsen,Braunschweig,38121,198.57,1957,1222.47,0
Hessen,Offenbach am Main,63066,98.81,1947,1548.0,0
Hessen,Marburg,35042,69.85,1948,1058.21,0
Niedersachsen,Wolfsburg,38447,190.68,1965,1416.62,0
Baden-Wuerttemberg,Freiburg im Breisgau,79114,175.32,1935,2407.24,0
Niedersachsen,Osnabrueck,49079,75.56,1981,923.36,0
Bayern,Schweinfurt,97421,77.8,2003,1024.14,0
Bayern,Kempten,87438,196.31,1951,1191.46,0
Baden-Wuerttemberg,Mannheim,68174,38.85,1936,644.59,0
Nordrhein-Westfalen,Duisburg,47195,113.2,1998,1065.84,0
Hessen,Offenbach am Main,63069,50.73,1945,849.48,0
Bayern,Neu-Ulm,89231,60.02,1996,1011.59,0
Niedersachsen,Osnabrueck,49077,24.44,1936,376.99,0
Baden-Wuerttemberg,Freiburg im Breisgau,79110,21.87,1946,459.91,0
Baden-Wuerttemberg,Stuttgart,70197,53.97,2008,1243.92,0
Baden-Wuerttemberg,Reutlingen,72768,144.83,1989,1114.61,0
Baden-Wuerttemberg,Reutlingen,72764,156.99,1933,1347.84,0
Hessen,Frankfurt am Main,64817,44.56,1957,824.95,0
Bayern,Erlangen,91052,27.87,1967,426.45,0
Bayern,Memmingen,87700,43.26,1973,551.3,0
Nordrhein-Westfalen,Wuppertal,42142,35.04,1988,383.42,0
Niedersachsen,Oldenburg,26131,71.49,1953,798.14,0
Nordrhein-Westfalen,Duesseldorf,40596,68.62,1936,966.22,0
Baden-Wuerttemberg,Pforzheim,75174,60.63,1942,801.51,0
Baden-Wuerttemberg,Freiburg im Breisgau,79115,172.76,1936,2328.76,0
Niedersachsen,Braunschweig,38119,173.74,1976,1454.53,0
Baden-Wuerttemberg,Heidelberg,69124,41.69,1975,689.4,0
Niedersachsen,Hannover,30432,189.56,1954,1359.58,0
Baden-Wuerttemberg,Karlsruhe,76169,167.66,1930,1808.27,0
Nordrhein-Westfalen,Bielefeld,33707,195.15,1928,1387.98,0
Baden-Wuerttemberg,Stuttgart,70406,137.78,1952,1892.41,0
Niedersachsen,Hildesheim,31136,85.23,1936,940.04,0
Hessen,Kassel,34148,39.58,1966,456.88,0
Baden-Wuerttemberg,Ulm,89156,37.74,1949,568.55,0
Niedersachsen,Oldenburg,26131,125.62,1969,1238.24,0
Bayern,Rosenheim,83025,132.19,1977,1300.7,0
Baden-Wuerttemberg,Mannheim,68264,146.97,1964,1274.37,0
Niedersachsen,Oldenburg,26127,147.98,1952,1142.65,0
Niedersachsen,Oldenburg,26130,33.32,1938,507.78,0
Niedersachsen,Goettingen,37083,164.1,1950,1297.05,0
Hessen,Fulda,36039,70.9,1949,758.05,0
Nordrhein-Westfalen,Duisburg,47167,92.36,1948,873.97,0
Baden-Wuerttemberg,Reutlingen,72764,52.85,2024,1068.83,0
Hessen,Frankfurt am Main,64388,22.49,1940,501.37,0
Hessen,Marburg,35091,181.24,1964,1415.06,0
Bayern,Regensburg,93058,110.28,2000,1613.68,0
Nordrhein-Westfalen,Essen,45307,104.25,1909,973.8,0
Niedersachsen,Osnabrueck,49081,57.31,1956,666.66,0
Bayern,Schweinfurt,97424,76.23,2040,1710.77,0
Hessen,Giessen,35391,140.62,1939,1580.19,0
Bayern,Kaufbeuren,87600,90.22,1992,951.76,0
Bayern,Freising,85355,122.8,1979,1502.84,0
Bayern,Hof,95031,92.1,2003,1030.23,0
Baden-Wuerttemberg,Karlsruhe,76209,120.29,1957,1228.39,0
Hessen,Kassel,34200,113.29,1922,1242.74,0
Baden-Wuerttemberg,Heidelberg,69125,155.19,1960,1624.92,0
Nordrhein-Westfalen,Dortmund,44213,48.95,1912,617.03,0
Baden-Wuerttemberg,Esslingen am Neckar,73730,140.29,1973,1395.21,0
Hessen,Hanau,63451,168.66,1930,1741.65,0
Baden-Wuerttemberg,Freiburg im Breisgau,79116,177.79,1970,2118.54,0
Nordrhein-Westfalen,Aachen,52073,80.23,1955,885.84,0
Niedersachsen,Osnabrueck,49078,46.76,1976,617.91,0
Niedersachsen,Goettingen,37085,164.23,1932,1683.84,0
Bayern,Straubing,94316,38.03,1970,462.95,0
Nordrhein-Westfalen,Dortmund,44202,54.61,1925,661.02,0
Nordrhein-Westfalen,Bielefeld,33614,87.8,1969,868.78,0
Niedersachsen,Hannover,30632,172.89,1967,1364.04,0
Nordrhein-Westfalen,Wuppertal,42257,100.89,1961,738.42,0
Nordrhein-Westfalen,Wuppertal,42302,62.8,1932,722.23,0
Baden-Wuerttemberg,Ulm,89073,34.56,1922,609.63,0
Hessen,Offenbach am Main,63067,76.49,1923,1252.32,0
Niedersachsen,Hannover,30440,66.56,1946,990.73,0
Nordrhein-Westfalen,Dortmund,44322,104.82,1971,907.55,0
Hessen,Frankfurt am Main,60609,113.13,1919,2017.33,0
Nordrhein-Westfalen,Bielefeld,33617,174.58,1934,1392.13,0
Nordrhein-Westfalen,Bochum,44821,43.88,1977,456.47,0
Nordrhein-Westfalen,Essen,45334,43.04,1945,549.09,0
Nordrhein-Westfalen,Aachen,52065,180.42,1934,1615.58,0
Niedersachsen,Hildesheim,31139,195.92,1956,822.83,0
Niedersachsen,Oldenburg,26124,171.21,1947,1603.31,0
Niedersachsen,Hannover,30170,32.14,1953,480.38,0
Niedersachsen,Hannover,30541,80.24,1954,943.43,0
Nordrhein-Westfalen,Gelsenkirchen,45894,93.39,1956,628.95,0
Bayern,Kaufbeuren,87601,95.04,1988,907.48,0
Hessen,Kassel,34244,103.62,1944,1177.83,0
Bayern,Schweinfurt,97422,48.58,1979,502.67,0
Hessen,Giessen,35390,173.29,1929,1773.1,0
Baden-Wuerttemberg,Ludwigsburg,71655,173.79,1979,1489.18,0
Baden-Wuerttemberg,Reutlingen,72769,154.81,1931,1375.25,0
Nordrhein-Westfalen,Wuppertal,42220,150.13,1971,916.38,0
Bayern,Ingolstadt,85056,120.78,2002,1871.88,0
Niedersachsen,Oldenburg,26129,90.56,1929,1199.44,0
Baden-Wuerttemberg,Reutlingen,72769,139.61,1956,961.5,0
Hessen,Frankfurt am Main,62509,140.95,1943,2378.45,0
Hessen,Darmstadt,64293,58.03,1926,956.53,0
Niedersachsen,Hannover,30179,126.61,1918,1545.83,0
Niedersachsen,Wolfsburg,38446,138.39,1954,1329.37,0
Hessen,Hanau,63452,58.0,1916,847.38,0
Nordrhein-Westfalen,Moenchengladbach,41196,188.46,1964,686.25,0
Niedersachsen,Oldenburg,26132,65.11,1948,887.8,0
Baden-Wuerttemberg,Ulm,89103,91.68,1978,1301.97,0
Hessen,Darmstadt,64297,27.11,1919,465.53,0
Bayern,Regensburg,93058,88.01,2011,1655.08,0
Baden-Wuerttemberg,Pforzheim,75174,111.88,1982,1013.2,0
Bayern,Augsburg,86188,183.9,1978,1631.73,0
Nordrhein-Westfalen,Bielefeld,33704,118.98,1943,1222.53,0
Nordrhein-Westfalen,Bonn,53112,194.95,1965,1223.78,0
Bayern,Passau,94033,121.36,1961,1093.6,0
Hessen,Marburg,35083,75.99,1895,1100.67,0
Nordrhein-Westfalen,Bochum,44851,145.36,1980,962.23,0
Baden-Wuerttemberg,Heilbronn,74073,162.78,1960,1486.64,0
Niedersachsen,Wolfsburg,38446,109.42,1972,1284.16,0
Baden-Wuerttemberg,Ulm,89079,42.28,1972,715.56,0
Bayern,Rosenheim,83023,22.35,1966,303.33,0
Nordrhein-Westfalen,Dortmund,44194,44.81,1981,489.62,0
Bayern,Passau,94034,147.07,1988,1290.39,0
Niedersachsen,Hildesheim,31140,196.42,1999,1485.61,0
Bayern,Memmingen,87700,101.85,1976,977.09,0
Baden-Wuerttemberg,Pforzheim,75181,149.99,1933,1446.63,0
Baden-Wuerttemberg,Mannheim,68280,146.81,1944,1638.08,0
Hessen,Wiesbaden,56478,140.2,1901,1840.57,0
Niedersachsen,Hannover,30222,72.62,1938,1045.91,0
Baden-Wuerttemberg,Stuttgart,70329,183.61,1956,2190.51,0
Nordrhein-Westfalen,Dortmund,44168,71.97,1940,851.06,0
Baden-Wuerttemberg,Ludwigsburg,71644,87.34,1923,1200.66,0
Nordrhein-Westfalen,Essen,45308,198.5,1930,1113.25,0
Bayern,Nuernberg,90439,92.91,1993,1225.73,0
Niedersachsen,Hildesheim,31138,137.92,1962,904.28,0
Hessen,Giessen,35390,23.59,1955,336.09,0
Niedersachsen,Oldenburg,26130,157.61,1969,1369.01,0
Niedersachsen,Hildesheim,31135,33.38,1975,434.83,0
Nordrhein-Westfalen,Gelsenkirchen,45899,84.35,1978,702.38,0
Baden-Wuerttemberg,Karlsruhe,76223,85.46,1992,1108.37,0
Nordrhein-Westfalen,Bochum,44871,41.37,1950,395.67,0
Niedersachsen,Hannover,30190,67.29,1968,807.04,0
Bayern,Dachau,85222,61.77,2000,1087.85,0
Bayern,Memmingen,87701,67.58,1979,806.24,0
Bayern,Straubing,94315,197.13,1980,1064.21,0
Hessen,Darmstadt,64283,86.16,1970,1181.12,0
Baden-Wuerttemberg,Esslingen am Neckar,73730,111.33,1939,1382.43,0
Niedersachsen,Oldenburg,26131,59.01,1966,695.1,0
Niedersachsen,Goettingen,37076,80.61,1913,1131.57,0
Hessen,Wiesbaden,58196,138.33,1946,1807.82,0
Hessen,Offenbach am Main,63073,193.3,1935,2245.36,0
Bayern,Bamberg,96048,100.56,1964,1042.93,0
Bayern,Straubing,94316,145.99,1968,980.79,0
Nordrhein-Westfalen,Wuppertal,42354,159.0,1971,924.1,0
Nordrhein-Westfalen,Bochum,44891,58.46,1973,590.73,0
Niedersachsen,Hildesheim,31141,141.02,1941,1258.15,0
Niedersachsen,Goettingen,37075,66.46,1939,929.97,0
Bayern,Kempten,87439,77.49,2008,1279.9,0
Bayern,Dachau,85222,90.26,1977,1233.14,0
Hessen,Ruesselsheim am Main,65428,123.15,1951,1146.1,0
Nordrhein-Westfalen,Duisburg,47255,62.96,1965,529.95,0
Hessen,Giessen,35392,111.44,1952,1168.4,0
Nordrhein-Westfalen,Gelsenkirchen,45888,48.93,1976,488.52,0
Hessen,Wiesbaden,64507,61.15,1949,870.85,0
Bayern,Passau,94036,75.85,1996,1011.04,0
Nordrhein-Westfalen,Dortmund,44346,62.74,1992,687.48,0
Hessen,Hanau,63451,22.93,1906,391.26,0
Hessen,Offenbach am Main,63070,78.71,1891,1300.76,0
Hessen,Darmstadt,64285,68.03,1925,1049.3,0
Niedersachsen,Osnabrueck,49090,25.61,1963,302.48,0
Nordrhein-Westfalen,Essen,45154,178.45,1968,742.52,0
Baden-Wuerttemberg,Heidelberg,69123,151.63,1966,1595.25,0
Niedersachsen,Braunschweig,38116,169.82,1938,1653.08,0
Niedersachsen,Osnabrueck,49076,107.51,1937,1274.45,0
Nordrhein-Westfalen,Muenster,48146,83.76,1928,1083.64,0
Niedersachsen,Oldenburg,26124,96.38,1966,973.34,0
Niedersachsen,Hannover,30257,75.74,1898,1098.9,0
Nordrhein-Westfalen,Duisburg,47110,46.27,1963,436.52,0
Baden-Wuerttemberg,Heilbronn,74074,27.32,1938,494.31,0
Niedersachsen,Wolfsburg,38443,53.72,1936,843.78,0
Baden-Wuerttemberg,Ludwigsburg,71656,119.24,1976,1316.59,0
Hessen,Darmstadt,64294,196.22,1928,2054.53,0
Nordrhein-Westfalen,Bochum,44878,73.03,1949,634.68,0
Baden-Wuerttemberg,Esslingen am Neckar,73734,90.62,1989,1068.9,0
Hessen,Ruesselsheim am Main,65429,125.65,1954,1169.76,0
Niedersachsen,Oldenburg,26121,194.41,1965,1174.5,0
Niedersachsen,Goettingen,37083,55.37,1958,677.46,0
Baden-Wuerttemberg,Heidelberg,69119,104.01,1953,1297.33,0
Niedersachsen,Goettingen,37081,193.26,1946,1730.26,0
Niedersachsen,Hildesheim,31141,167.68,2006,1741.98,0
Baden-Wuerttemberg,Ludwigsburg,71642,71.14,1993,958.85,0
Hessen,Wiesbaden,62250,73.87,1931,1213.51,0
Nordrhein-Westfalen,Muenster,48156,141.11,1941,1442.9,0
Bayern,Fuerth,90766,127.02,1973,1388.47,0
Niedersachsen,Hannover,30387,22.15,1930,370.59,0
Bayern,Regensburg,93050,23.24,1996,392.59,0
Baden-Wuerttemberg,Ludwigsburg,71657,181.65,1956,1346.39,0
Hessen,Hanau,63454,185.24,1961,1340.11,0
Nordrhein-Westfalen,Wuppertal,42386,90.18,1960,696.62,0
Bayern,Nuernberg,90477,192.86,2017,2851.09,0
Bayern,Schweinfurt,97424,107.95,1997,1063.92,0
Baden-Wuerttemberg,Karlsruhe,76208,69.66,1944,1035.27,0
Baden-Wuerttemberg,Heidelberg,69123,188.87,1966,1676.0,0
Hessen,Ruesselsheim am Main,65428,163.14,1961,1257.62,0
Hessen,Giessen,35393,88.43,1929,1221.19,0
Baden-Wuerttemberg,Heilbronn,74078,94.22,1979,1248.29,0
Niedersachsen,Braunschweig,38113,56.97,1954,719.47,0
Bayern,Aschaffenburg,63743,113.5,1971,1159.48,0
Bayern,Kaufbeuren,87601,134.89,2012,1792.63,0
Bayern,Neu-Ulm,89233,39.14,1962,587.15,0
Bayern,Landshut,84035,111.33,1998,1464.11,0
Baden-Wuerttemberg,Reutlingen,72763,145.33,1954,972.66,0
Baden-Wuerttemberg,Stuttgart,70626,72.66,1933,1412.9,0
Hessen,Frankfurt am Main,64923,75.69,1975,1364.1,0
Bayern,Neu-Ulm,89231,169.44,1958,1574.72,0
Nordrhein-Westfalen,Koeln,51191,65.61,1964,799.23,0
Baden-Wuerttemberg,Freiburg im Breisgau,79105,138.56,1990,1896.41,0
Hessen,Darmstadt,64284,167.59,1960,1548.72,0
Nordrhein-Westfalen,Duisburg,47197,44.93,1963,452.53,0
Hessen,Fulda,36042,199.25,1919,1569.14,0
Nordrhein-Westfalen,Essen,45128,157.07,1961,777.49,0
Bayern,Kaufbeuren,87600,25.47,2000,344.73,0
Nordrhein-Westfalen,Duesseldorf,40347,88.68,1969,1039.6,0
Baden-Wuerttemberg,Ludwigsburg,71668,144.14,1950,1253.19,0
Bayern,Muenchen,84685,163.54,1989,2140.25,0
Niedersachsen,Wolfsburg,38443,74.76,1921,1067.82,0
Hessen,Giessen,35396,85.91,1919,1193.88,0
Niedersachsen,Braunschweig,38124,92.58,1968,978.45,0
Niedersachsen,Hannover,30349,42.09,1960,570.8,0
Nordrhein-Westfalen,Dortmund,44348,92.34,1961,763.62,0
Baden-Wuerttemberg,Heilbronn,74078,147.38,1966,1427.8,0
Niedersachsen,Osnabrueck,49090,88.8,1956,907.08,0
Nordrhein-Westfalen,Wuppertal,42192,31.38,2007,488.54,0
Nordrhein-Westfalen,Duisburg,47256,85.19,1937,841.95,0
Nordrhein-Westfalen,Moenchengladbach,41063,70.49,1956,623.11,0
Niedersachsen,Goettingen,37075,89.03,1913,1235.84,0
Bayern,Bamberg,96052,57.0,1968,734.1,0
Niedersachsen,Hannover,30471,176.97,1930,1788.25,0
Bayern,Wuerzburg,97078,44.52,1962,612.75,0
Baden-Wuerttemberg,Heilbronn,74081,192.45,2005,2447.07,0
Hessen,Wiesbaden,56587,51.29,1944,883.46,0
Hessen,Fulda,36039,37.09,1927,541.33,0
Nordrhein-Westfalen,Moenchengladbach,41087,187.98,1966,712.44,0
Bayern,Wuerzburg,97074,56.06,1962,788.21,0
Niedersachsen,Hannover,30552,51.67,1912,804.92,0
Nordrhein-Westfalen,Essen,45172,90.44,1941,941.07,0
Nordrhein-Westfalen,Wuppertal,42393,184.09,1930,1113.81,0
Hessen,Ruesselsheim am Main,65429,23.97,1929,401.54,0
Bayern,Schweinfurt,97422,31.42,2039,771.85,0
Hessen,Ruesselsheim am Main,65428,49.7,1955,632.41,0
Bayern,Erlangen,91054,154.45,1993,1812.41,0
Hessen,Offenbach am Main,63073,96.53,1955,1240.65,0
Bayern,Wuerzburg,97082,84.63,1994,1205.07,0
Nordrhein-Westfalen,Duesseldorf,40542,60.7,1948,880.56,0
Niedersachsen,Osnabrueck,49074,45.89,1940,636.58,0
Baden-Wuerttemberg,Freiburg im Breisgau,79108,188.87,1961,1977.84,0
Hessen,Hanau,63456,70.24,1942,1013.67,0
